stemID           locationX        locationY        length           radians         
0                0.00             0.00             120.00           1.57            
1                0.00             120.00           115.20           1.87            
2                0.00             120.00           110.00           2.13            
3                0.00             120.00           110.00           1.01            
4                0.00             120.00           115.20           1.27            
5                -33.96           230.08           106.17           2.17            
6                -33.96           230.08           96.80            2.43            
7                -33.96           230.08           96.80            1.31            
8                -33.96           230.08           106.17           1.57            
9                -58.52           213.14           101.38           2.43            
10               -58.52           213.14           92.43            2.69            
11               -58.52           213.14           92.43            1.57            
12               -58.52           213.14           101.38           1.83            
13               58.52            213.14           101.38           1.31            
14               58.52            213.14           92.43            1.57            
15               58.52            213.14           92.43            0.45            
16               58.52            213.14           101.38           0.71            
17               33.96            230.08           106.17           1.57            
18               33.96            230.08           96.80            1.83            
19               33.96            230.08           96.80            0.71            
20               33.96            230.08           106.17           0.97            
21               -93.76           317.80           93.93            2.47            
22               -93.76           317.80           81.78            2.73            
23               -93.76           317.80           81.78            1.61            
24               -93.76           317.80           93.93            1.87            
25               -107.33          293.22           85.64            2.73            
26               -107.33          293.22           74.56            2.99            
27               -107.33          293.22           74.56            1.87            
28               -107.33          293.22           85.64            2.13            
29               -8.90            323.58           85.64            1.61            
30               -8.90            323.58           74.56            1.87            
31               -8.90            323.58           74.56            0.75            
32               -8.90            323.58           85.64            1.01            
33               -33.96           336.25           93.93            1.87            
34               -33.96           336.25           81.78            2.13            
35               -33.96           336.25           81.78            1.01            
36               -33.96           336.25           93.93            1.27            
37               -135.36          279.27           89.69            2.73            
38               -135.36          279.27           78.09            2.99            
39               -135.36          279.27           78.09            1.87            
40               -135.36          279.27           89.69            2.13            
41               -141.80          253.24           81.78            2.99            
42               -141.80          253.24           71.20            3.25            
43               -141.80          253.24           71.20            2.13            
44               -141.80          253.24           81.78            2.39            
45               -58.52           305.57           81.78            1.87            
46               -58.52           305.57           71.20            2.13            
47               -58.52           305.57           71.20            1.01            
48               -58.52           305.57           81.78            1.27            
49               -84.76           311.06           89.69            2.13            
50               -84.76           311.06           78.09            2.39            
51               -84.76           311.06           78.09            1.27            
52               -84.76           311.06           89.69            1.53            
53               84.76            311.06           89.69            1.61            
54               84.76            311.06           78.09            1.87            
55               84.76            311.06           78.09            0.75            
56               84.76            311.06           89.69            1.01            
57               58.52            305.57           81.78            1.87            
58               58.52            305.57           71.20            2.13            
59               58.52            305.57           71.20            1.01            
60               58.52            305.57           81.78            1.27            
61               141.80           253.24           81.78            0.75            
62               141.80           253.24           71.20            1.01            
63               141.80           253.24           71.20            -0.11           
64               141.80           253.24           81.78            0.15            
65               135.36           279.27           89.69            1.01            
66               135.36           279.27           78.09            1.27            
67               135.36           279.27           78.09            0.15            
68               135.36           279.27           89.69            0.41            
69               33.96            336.25           93.93            1.87            
70               33.96            336.25           81.78            2.13            
71               33.96            336.25           81.78            1.01            
72               33.96            336.25           93.93            1.27            
73               8.90             323.58           85.64            2.13            
74               8.90             323.58           74.56            2.39            
75               8.90             323.58           74.56            1.27            
76               8.90             323.58           85.64            1.53            
77               107.33           293.22           85.64            1.01            
78               107.33           293.22           74.56            1.27            
79               107.33           293.22           74.56            0.15            
80               107.33           293.22           85.64            0.41            
81               93.76            317.80           93.93            1.27            
82               93.76            317.80           81.78            1.53            
83               93.76            317.80           81.78            0.41            
84               93.76            317.80           93.93            0.67            
85               -167.20          376.37           79.78            2.77            
86               -167.20          376.37           66.32            3.03            
87               -167.20          376.37           66.32            1.91            
88               -167.20          376.37           79.78            2.17            
89               -168.72          350.50           69.46            3.03            
90               -168.72          350.50           57.74            3.29            
91               -168.72          350.50           57.74            2.17            
92               -168.72          350.50           69.46            2.43            
93               -96.82           399.52           69.46            1.91            
94               -96.82           399.52           57.74            2.17            
95               -96.82           399.52           57.74            1.05            
96               -96.82           399.52           69.46            1.31            
97               -121.45          407.56           79.78            2.17            
98               -121.45          407.56           66.32            2.43            
99               -121.45          407.56           66.32            1.31            
100              -121.45          407.56           79.78            1.57            
101              -185.82          327.47           72.74            3.03            
102              -185.82          327.47           60.47            3.29            
103              -185.82          327.47           60.47            2.17            
104              -185.82          327.47           72.74            2.43            
105              -181.06          304.34           63.33            3.29            
106              -181.06          304.34           52.64            3.55            
107              -181.06          304.34           52.64            2.43            
108              -181.06          304.34           63.33            2.69            
109              -129.30          364.47           63.33            2.17            
110              -129.30          364.47           52.64            2.43            
111              -129.30          364.47           52.64            1.31            
112              -129.30          364.47           63.33            1.57            
113              -152.89          365.74           72.74            2.43            
114              -152.89          365.74           60.47            2.69            
115              -152.89          365.74           60.47            1.57            
116              -152.89          365.74           72.74            1.83            
117              -12.10           409.17           72.74            1.91            
118              -12.10           409.17           60.47            2.17            
119              -12.10           409.17           60.47            1.05            
120              -12.10           409.17           72.74            1.31            
121              -30.88           394.83           63.33            2.17            
122              -30.88           394.83           52.64            2.43            
123              -30.88           394.83           52.64            1.31            
124              -30.88           394.83           63.33            1.57            
125              45.75            374.30           63.33            1.05            
126              45.75            374.30           52.64            1.31            
127              45.75            374.30           52.64            0.19            
128              45.75            374.30           63.33            0.45            
129              36.66            396.10           72.74            1.31            
130              36.66            396.10           60.47            1.57            
131              36.66            396.10           60.47            0.45            
132              36.66            396.10           72.74            0.71            
133              -61.64           426.01           79.78            2.17            
134              -61.64           426.01           66.32            2.43            
135              -61.64           426.01           66.32            1.31            
136              -61.64           426.01           79.78            1.57            
137              -77.46           405.49           69.46            2.43            
138              -77.46           405.49           57.74            2.69            
139              -77.46           405.49           57.74            1.57            
140              -77.46           405.49           69.46            1.83            
141              9.55             405.49           69.46            1.31            
142              9.55             405.49           57.74            1.57            
143              9.55             405.49           57.74            0.45            
144              9.55             405.49           69.46            0.71            
145              -6.27            426.01           79.78            1.57            
146              -6.27            426.01           66.32            1.83            
147              -6.27            426.01           66.32            0.71            
148              -6.27            426.01           79.78            0.97            
149              -217.57          315.13           76.18            3.03            
150              -217.57          315.13           63.33            3.29            
151              -217.57          315.13           63.33            2.17            
152              -217.57          315.13           76.18            2.43            
153              -212.58          290.90           66.32            3.29            
154              -212.58          290.90           55.13            3.55            
155              -212.58          290.90           55.13            2.43            
156              -212.58          290.90           66.32            2.69            
157              -158.38          353.88           66.32            2.17            
158              -158.38          353.88           55.13            2.43            
159              -158.38          353.88           55.13            1.31            
160              -158.38          353.88           66.32            1.57            
161              -183.08          355.21           76.18            2.43            
162              -183.08          355.21           63.33            2.69            
163              -183.08          355.21           63.33            1.57            
164              -183.08          355.21           76.18            1.83            
165              -222.66          265.43           69.46            3.29            
166              -222.66          265.43           57.74            3.55            
167              -222.66          265.43           57.74            2.43            
168              -222.66          265.43           69.46            2.69            
169              -212.55          245.27           60.47            3.55            
170              -212.55          245.27           50.27            3.81            
171              -212.55          245.27           50.27            2.69            
172              -212.55          245.27           60.47            2.95            
173              -179.68          313.53           60.47            2.43            
174              -179.68          313.53           50.27            2.69            
175              -179.68          313.53           50.27            1.57            
176              -179.68          313.53           60.47            1.83            
177              -201.75          308.87           69.46            2.69            
178              -201.75          308.87           57.74            2.95            
179              -201.75          308.87           57.74            1.83            
180              -201.75          308.87           69.46            2.09            
181              -82.63           383.71           69.46            2.17            
182              -82.63           383.71           57.74            2.43            
183              -82.63           383.71           57.74            1.31            
184              -82.63           383.71           69.46            1.57            
185              -96.40           365.85           60.47            2.43            
186              -96.40           365.85           50.27            2.69            
187              -96.40           365.85           50.27            1.57            
188              -96.40           365.85           60.47            1.83            
189              -20.65           365.85           60.47            1.31            
190              -20.65           365.85           50.27            1.57            
191              -20.65           365.85           50.27            0.45            
192              -20.65           365.85           60.47            0.71            
193              -34.42           383.71           69.46            1.57            
194              -34.42           383.71           57.74            1.83            
195              -34.42           383.71           57.74            0.71            
196              -34.42           383.71           69.46            0.97            
197              -132.48          387.00           76.18            2.43            
198              -132.48          387.00           63.33            2.69            
199              -132.48          387.00           63.33            1.57            
200              -132.48          387.00           76.18            1.83            
201              -142.00          364.17           66.32            2.69            
202              -142.00          364.17           55.13            2.95            
203              -142.00          364.17           55.13            1.83            
204              -142.00          364.17           66.32            2.09            
205              -61.75           385.68           66.32            1.57            
206              -61.75           385.68           55.13            1.83            
207              -61.75           385.68           55.13            0.71            
208              -61.75           385.68           66.32            0.97            
209              -81.41           400.69           76.18            1.83            
210              -81.41           400.69           63.33            2.09            
211              -81.41           400.69           63.33            0.97            
212              -81.41           400.69           76.18            1.23            
213              81.41            400.69           76.18            1.91            
214              81.41            400.69           63.33            2.17            
215              81.41            400.69           63.33            1.05            
216              81.41            400.69           76.18            1.31            
217              61.75            385.68           66.32            2.17            
218              61.75            385.68           55.13            2.43            
219              61.75            385.68           55.13            1.31            
220              61.75            385.68           66.32            1.57            
221              142.00           364.17           66.32            1.05            
222              142.00           364.17           55.13            1.31            
223              142.00           364.17           55.13            0.19            
224              142.00           364.17           66.32            0.45            
225              132.48           387.00           76.18            1.31            
226              132.48           387.00           63.33            1.57            
227              132.48           387.00           63.33            0.45            
228              132.48           387.00           76.18            0.71            
229              34.42            383.71           69.46            2.17            
230              34.42            383.71           57.74            2.43            
231              34.42            383.71           57.74            1.31            
232              34.42            383.71           69.46            1.57            
233              20.65            365.85           60.47            2.43            
234              20.65            365.85           50.27            2.69            
235              20.65            365.85           50.27            1.57            
236              20.65            365.85           60.47            1.83            
237              96.40            365.85           60.47            1.31            
238              96.40            365.85           50.27            1.57            
239              96.40            365.85           50.27            0.45            
240              96.40            365.85           60.47            0.71            
241              82.63            383.71           69.46            1.57            
242              82.63            383.71           57.74            1.83            
243              82.63            383.71           57.74            0.71            
244              82.63            383.71           69.46            0.97            
245              201.75           308.87           69.46            1.05            
246              201.75           308.87           57.74            1.31            
247              201.75           308.87           57.74            0.19            
248              201.75           308.87           69.46            0.45            
249              179.68           313.53           60.47            1.31            
250              179.68           313.53           50.27            1.57            
251              179.68           313.53           50.27            0.45            
252              179.68           313.53           60.47            0.71            
253              212.55           245.27           60.47            0.19            
254              212.55           245.27           50.27            0.45            
255              212.55           245.27           50.27            -0.67           
256              212.55           245.27           60.47            -0.41           
257              222.66           265.43           69.46            0.45            
258              222.66           265.43           57.74            0.71            
259              222.66           265.43           57.74            -0.41           
260              222.66           265.43           69.46            -0.15           
261              183.08           355.21           76.18            1.31            
262              183.08           355.21           63.33            1.57            
263              183.08           355.21           63.33            0.45            
264              183.08           355.21           76.18            0.71            
265              158.38           353.88           66.32            1.57            
266              158.38           353.88           55.13            1.83            
267              158.38           353.88           55.13            0.71            
268              158.38           353.88           66.32            0.97            
269              212.58           290.90           66.32            0.45            
270              212.58           290.90           55.13            0.71            
271              212.58           290.90           55.13            -0.41           
272              212.58           290.90           66.32            -0.15           
273              217.57           315.13           76.18            0.71            
274              217.57           315.13           63.33            0.97            
275              217.57           315.13           63.33            -0.15           
276              217.57           315.13           76.18            0.11            
277              6.27             426.01           79.78            2.17            
278              6.27             426.01           66.32            2.43            
279              6.27             426.01           66.32            1.31            
280              6.27             426.01           79.78            1.57            
281              -9.55            405.49           69.46            2.43            
282              -9.55            405.49           57.74            2.69            
283              -9.55            405.49           57.74            1.57            
284              -9.55            405.49           69.46            1.83            
285              77.46            405.49           69.46            1.31            
286              77.46            405.49           57.74            1.57            
287              77.46            405.49           57.74            0.45            
288              77.46            405.49           69.46            0.71            
289              61.64            426.01           79.78            1.57            
290              61.64            426.01           66.32            1.83            
291              61.64            426.01           66.32            0.71            
292              61.64            426.01           79.78            0.97            
293              -36.66           396.10           72.74            2.43            
294              -36.66           396.10           60.47            2.69            
295              -36.66           396.10           60.47            1.57            
296              -36.66           396.10           72.74            1.83            
297              -45.75           374.30           63.33            2.69            
298              -45.75           374.30           52.64            2.95            
299              -45.75           374.30           52.64            1.83            
300              -45.75           374.30           63.33            2.09            
301              30.88            394.83           63.33            1.57            
302              30.88            394.83           52.64            1.83            
303              30.88            394.83           52.64            0.71            
304              30.88            394.83           63.33            0.97            
305              12.10            409.17           72.74            1.83            
306              12.10            409.17           60.47            2.09            
307              12.10            409.17           60.47            0.97            
