specimenID       plantName        Age(Generation)  totalHeight (cm) totalWidth (cm)  stemNumbers     
1001             plant            7                610.95           963.31           3280            

stemID           locationX        locationY        stemLength       radians         
0                0.00             0.00             100.00           1.57            
1                0.00             100.00           100.00           2.36            
2                0.00             100.00           100.00           1.57            
3                0.00             100.00           100.00           0.79            
4                -70.71           170.71           97.09            3.14            
5                -70.71           170.71           97.09            2.36            
6                -70.71           170.71           97.09            1.57            
7                0.00             200.00           97.09            2.36            
8                0.00             200.00           97.09            1.57            
9                0.00             200.00           97.09            0.79            
10               70.71            170.71           97.09            1.57            
11               70.71            170.71           97.09            0.79            
12               70.71            170.71           97.09            0.00            
13               -167.80          170.71           91.51            3.93            
14               -167.80          170.71           91.51            3.14            
15               -167.80          170.71           91.51            2.36            
16               -139.36          239.36           91.51            3.14            
17               -139.36          239.36           91.51            2.36            
18               -139.36          239.36           91.51            1.57            
19               -70.71           267.80           91.51            2.36            
20               -70.71           267.80           91.51            1.57            
21               -70.71           267.80           91.51            0.79            
22               -68.65           268.65           91.51            3.14            
23               -68.65           268.65           91.51            2.36            
24               -68.65           268.65           91.51            1.57            
25               0.00             297.09           91.51            2.36            
26               0.00             297.09           91.51            1.57            
27               0.00             297.09           91.51            0.79            
28               68.65            268.65           91.51            1.57            
29               68.65            268.65           91.51            0.79            
30               68.65            268.65           91.51            0.00            
31               70.71            267.80           91.51            2.36            
32               70.71            267.80           91.51            1.57            
33               70.71            267.80           91.51            0.79            
34               139.36           239.36           91.51            1.57            
35               139.36           239.36           91.51            0.79            
36               139.36           239.36           91.51            0.00            
37               167.80           170.71           91.51            0.79            
38               167.80           170.71           91.51            0.00            
39               167.80           170.71           91.51            -0.79           
40               -232.51          106.00           83.75            4.71            
41               -232.51          106.00           83.75            3.93            
42               -232.51          106.00           83.75            3.14            
43               -259.31          170.71           83.75            3.93            
44               -259.31          170.71           83.75            3.14            
45               -259.31          170.71           83.75            2.36            
46               -232.51          235.42           83.75            3.14            
47               -232.51          235.42           83.75            2.36            
48               -232.51          235.42           83.75            1.57            
49               -230.88          239.36           83.75            3.93            
50               -230.88          239.36           83.75            3.14            
51               -230.88          239.36           83.75            2.36            
52               -204.07          304.07           83.75            3.14            
53               -204.07          304.07           83.75            2.36            
54               -204.07          304.07           83.75            1.57            
55               -139.36          330.88           83.75            2.36            
56               -139.36          330.88           83.75            1.57            
57               -139.36          330.88           83.75            0.79            
58               -135.42          332.51           83.75            3.14            
59               -135.42          332.51           83.75            2.36            
60               -135.42          332.51           83.75            1.57            
61               -70.71           359.31           83.75            2.36            
62               -70.71           359.31           83.75            1.57            
63               -70.71           359.31           83.75            0.79            
64               -6.00            332.51           83.75            1.57            
65               -6.00            332.51           83.75            0.79            
66               -6.00            332.51           83.75            0.00            
67               -160.17          268.65           83.75            3.93            
68               -160.17          268.65           83.75            3.14            
69               -160.17          268.65           83.75            2.36            
70               -133.36          333.36           83.75            3.14            
71               -133.36          333.36           83.75            2.36            
72               -133.36          333.36           83.75            1.57            
73               -68.65           360.17           83.75            2.36            
