stemID           locationX        locationY        length           radians         
247973           0.00             0.00             150.00           1.57            
247974           0.00             150.00           125.00           3.14            
247975           0.00             150.00           125.00           1.78            
247976           0.00             150.00           125.00           1.36            
247977           0.00             150.00           125.00           0.00            
247978           -125.00          150.00           86.81            4.71            
247979           -125.00          150.00           86.81            3.35            
247980           -125.00          150.00           86.81            2.93            
247981           -125.00          150.00           86.81            1.57            
247982           -25.99           272.27           86.81            3.35            
247983           -25.99           272.27           86.81            1.99            
247984           -25.99           272.27           86.81            1.57            
247985           -25.99           272.27           86.81            0.21            
247986           25.99            272.27           86.81            2.93            
247987           25.99            272.27           86.81            1.57            
247988           25.99            272.27           86.81            1.15            
247989           25.99            272.27           86.81            -0.21           
247990           125.00           150.00           86.81            1.57            
247991           125.00           150.00           86.81            0.21            
247992           125.00           150.00           86.81            -0.21           
247993           125.00           150.00           86.81            -1.57           
247994           -125.00          63.19            50.23            6.28            
247995           -125.00          63.19            50.23            4.92            
247996           -125.00          63.19            50.23            4.50            
247997           -125.00          63.19            50.23            3.14            
247998           -209.91          131.95           50.23            4.92            
247999           -209.91          131.95           50.23            3.56            
248000           -209.91          131.95           50.23            3.14            
248001           -209.91          131.95           50.23            1.78            
248002           -209.91          168.05           50.23            4.50            
248003           -209.91          168.05           50.23            3.14            
248004           -209.91          168.05           50.23            2.72            
248005           -209.91          168.05           50.23            1.36            
248006           -125.00          236.81           50.23            3.14            
248007           -125.00          236.81           50.23            1.78            
248008           -125.00          236.81           50.23            1.36            
248009           -125.00          236.81           50.23            0.00            
248010           -110.90          254.22           50.23            4.92            
248011           -110.90          254.22           50.23            3.56            
248012           -110.90          254.22           50.23            3.14            
248013           -110.90          254.22           50.23            1.78            
248014           -61.30           351.57           50.23            3.56            
248015           -61.30           351.57           50.23            2.20            
248016           -61.30           351.57           50.23            1.78            
248017           -61.30           351.57           50.23            0.42            
248018           -25.99           359.07           50.23            3.14            
248019           -25.99           359.07           50.23            1.78            
248020           -25.99           359.07           50.23            1.36            
248021           -25.99           359.07           50.23            0.00            
248022           58.92            290.32           50.23            1.78            
248023           58.92            290.32           50.23            0.42            
248024           58.92            290.32           50.23            0.00            
248025           58.92            290.32           50.23            -1.36           
248026           -58.92           290.32           50.23            4.50            
248027           -58.92           290.32           50.23            3.14            
248028           -58.92           290.32           50.23            2.72            
248029           -58.92           290.32           50.23            1.36            
248030           25.99            359.07           50.23            3.14            
248031           25.99            359.07           50.23            1.78            
248032           25.99            359.07           50.23            1.36            
248033           25.99            359.07           50.23            0.00            
248034           61.30            351.57           50.23            2.72            
248035           61.30            351.57           50.23            1.36            
248036           61.30            351.57           50.23            0.94            
248037           61.30            351.57           50.23            -0.42           
248038           110.90           254.22           50.23            1.36            
248039           110.90           254.22           50.23            -0.00           
248040           110.90           254.22           50.23            -0.42           
248041           110.90           254.22           50.23            -1.78           
248042           125.00           236.81           50.23            3.14            
248043           125.00           236.81           50.23            1.78            
248044           125.00           236.81           50.23            1.36            
248045           125.00           236.81           50.23            0.00            
248046           209.91           168.05           50.23            1.78            
248047           209.91           168.05           50.23            0.42            
248048           209.91           168.05           50.23            0.00            
248049           209.91           168.05           50.23            -1.36           
248050           209.91           131.95           50.23            1.36            
248051           209.91           131.95           50.23            0.00            
248052           209.91           131.95           50.23            -0.42           
248053           209.91           131.95           50.23            -1.78           
248054           125.00           63.19            50.23            0.00            
248055           125.00           63.19            50.23            -1.36           
248056           125.00           63.19            50.23            -1.78           
248057           125.00           63.19            50.23            -3.14           
248058           -74.77           63.19            24.23            7.85            
248059           -74.77           63.19            24.23            6.49            
248060           -74.77           63.19            24.23            6.07            
248061           -74.77           63.19            24.23            4.71            
248062           -114.56          14.06            24.23            6.49            
248063           -114.56          14.06            24.23            5.13            
248064           -114.56          14.06            24.23            4.71            
248065           -114.56          14.06            24.23            3.35            
248066           -135.44          14.06            24.23            6.07            
248067           -135.44          14.06            24.23            4.71            
248068           -135.44          14.06            24.23            4.29            
248069           -135.44          14.06            24.23            2.93            
248070           -175.23          63.19            24.23            4.71            
248071           -175.23          63.19            24.23            3.35            
248072           -175.23          63.19            24.23            2.93            
248073           -175.23          63.19            24.23            1.57            
248074           -199.46          82.82            24.23            6.49            
248075           -199.46          82.82            24.23            5.13            
248076           -199.46          82.82            24.23            4.71            
248077           -199.46          82.82            24.23            3.35            
248078           -255.80          111.52           24.23            5.13            
248079           -255.80          111.52           24.23            3.77            
248080           -255.80          111.52           24.23            3.35            
248081           -255.80          111.52           24.23            1.99            
248082           -260.14          131.95           24.23            4.71            
248083           -260.14          131.95           24.23            3.35            
248084           -260.14          131.95           24.23            2.93            
248085           -260.14          131.95           24.23            1.57            
248086           -220.35          181.09           24.23            3.35            
248087           -220.35          181.09           24.23            1.99            
248088           -220.35          181.09           24.23            1.57            
248089           -220.35          181.09           24.23            0.21            
248090           -220.35          118.91           24.23            6.07            
248091           -220.35          118.91           24.23            4.71            
248092           -220.35          118.91           24.23            4.29            
248093           -220.35          118.91           24.23            2.93            
248094           -260.14          168.05           24.23            4.71            
248095           -260.14          168.05           24.23            3.35            
248096           -260.14          168.05           24.23            2.93            
248097           -260.14          168.05           24.23            1.57            
248098           -255.80          188.48           24.23            4.29            
248099           -255.80          188.48           24.23            2.93            
248100           -255.80          188.48           24.23            2.51            
248101           -255.80          188.48           24.23            1.15            
248102           -199.46          217.18           24.23            2.93            
248103           -199.46          217.18           24.23            1.57            
248104           -199.46          217.18           24.23            1.15            
248105           -199.46          217.18           24.23            -0.21           
248106           -175.23          236.81           24.23            4.71            
248107           -175.23          236.81           24.23            3.35            
248108           -175.23          236.81           24.23            2.93            
248109           -175.23          236.81           24.23            1.57            
248110           -135.44          285.94           24.23            3.35            
248111           -135.44          285.94           24.23            1.99            
248112           -135.44          285.94           24.23            1.57            
248113           -135.44          285.94           24.23            0.21            
248114           -114.56          285.94           24.23            2.93            
248115           -114.56          285.94           24.23            1.57            
248116           -114.56          285.94           24.23            1.15            
248117           -114.56          285.94           24.23            -0.21           
248118           -74.77           236.81           24.23            1.57            
248119           -74.77           236.81           24.23            0.21            
248120           -74.77           236.81           24.23            -0.21           
248121           -74.77           236.81           24.23            -1.57           
248122           -100.45          205.08           24.23            6.49            
248123           -100.45          205.08           24.23            5.13            
248124           -100.45          205.08           24.23            4.71            
248125           -100.45          205.08           24.23            3.35            
248126           -156.79          233.79           24.23            5.13            
248127           -156.79          233.79           24.23            3.77            
248128           -156.79          233.79           24.23            3.35            
248129           -156.79          233.79           24.23            1.99            
248130           -161.13          254.22           24.23            4.71            
248131           -161.13          254.22           24.23            3.35            
248132           -161.13          254.22           24.23            2.93            
248133           -161.13          254.22           24.23            1.57            
248134           -121.34          303.36           24.23            3.35            
248135           -121.34          303.36           24.23            1.99            
248136           -121.34          303.36           24.23            1.57            
248137           -121.34          303.36           24.23            0.21            
248138           -107.19          331.14           24.23            5.13            
248139           -107.19          331.14           24.23            3.77            
248140           -107.19          331.14           24.23            3.35            
248141           -107.19          331.14           24.23            1.99            
248142           -90.82           392.21           24.23            3.77            
248143           -90.82           392.21           24.23            2.41            
248144           -90.82           392.21           24.23            1.99            
248145           -90.82           392.21           24.23            0.63            
248146           -71.74           400.71           24.23            3.35            
248147           -71.74           400.71           24.23            1.99            
248148           -71.74           400.71           24.23            1.57            
248149           -71.74           400.71           24.23            0.21            
248150           -15.40           372.00           24.23            1.99            
248151           -15.40           372.00           24.23            0.63            
248152           -15.40           372.00           24.23            0.21            
248153           -15.40           372.00           24.23            -1.15           
248154           -76.22           359.07           24.23            4.71            
248155           -76.22           359.07           24.23            3.35            
248156           -76.22           359.07           24.23            2.93            
248157           -76.22           359.07           24.23            1.57            
248158           -36.43           408.21           24.23            3.35            
