stemID           locationX        locationY        length           radians         
21845            0.00             0.00             120.00           1.57            
21846            0.00             120.00           113.68           1.92            
21847            0.00             120.00           113.68           2.09            
21848            0.00             120.00           113.68           1.05            
21849            0.00             120.00           113.68           1.22            
21850            -38.88           226.83           102.03           2.27            
21851            -38.88           226.83           102.03           2.44            
21852            -38.88           226.83           102.03           1.40            
21853            -38.88           226.83           102.03           1.57            
21854            -56.84           218.45           102.03           2.44            
21855            -56.84           218.45           102.03           2.62            
21856            -56.84           218.45           102.03           1.57            
21857            -56.84           218.45           102.03           1.75            
21858            56.84            218.45           102.03           1.40            
21859            56.84            218.45           102.03           1.57            
21860            56.84            218.45           102.03           0.52            
21861            56.84            218.45           102.03           0.70            
21862            38.88            226.83           102.03           1.57            
21863            38.88            226.83           102.03           1.75            
21864            38.88            226.83           102.03           0.70            
21865            38.88            226.83           102.03           0.87            
21866            -104.47          304.99           86.76            2.62            
21867            -104.47          304.99           86.76            2.79            
21868            -104.47          304.99           86.76            1.75            
21869            -104.47          304.99           86.76            1.92            
21870            -117.05          292.41           86.76            2.79            
21871            -117.05          292.41           86.76            2.97            
21872            -117.05          292.41           86.76            1.92            
21873            -117.05          292.41           86.76            2.09            
21874            -21.16           327.31           86.76            1.75            
21875            -21.16           327.31           86.76            1.92            
21876            -21.16           327.31           86.76            0.87            
21877            -21.16           327.31           86.76            1.05            
21878            -38.88           328.86           86.76            1.92            
21879            -38.88           328.86           86.76            2.09            
21880            -38.88           328.86           86.76            1.05            
21881            -38.88           328.86           86.76            1.22            
21882            -135.00          284.04           86.76            2.79            
21883            -135.00          284.04           86.76            2.97            
21884            -135.00          284.04           86.76            1.92            
21885            -135.00          284.04           86.76            2.09            
21886            -145.21          269.47           86.76            2.97            
21887            -145.21          269.47           86.76            3.14            
21888            -145.21          269.47           86.76            2.09            
21889            -145.21          269.47           86.76            2.27            
21890            -56.84           320.49           86.76            1.92            
21891            -56.84           320.49           86.76            2.09            
21892            -56.84           320.49           86.76            1.05            
21893            -56.84           320.49           86.76            1.22            
21894            -74.56           318.94           86.76            2.09            
21895            -74.56           318.94           86.76            2.27            
